Id,Date,Location of Spaces,No of Spaces,Purpose,Date Suspended,Date Expired,Amount Paid
1566,30-Jun-06,Merrion Square West,6,To Facilate Filiming,05-Jul-06,05-Jul-06,228.00
1567,03-Jul-06,Pembroke Street,6,Film Vehicles,14-Jul-06,14-Jul-06,228.00
1568,03-Jul-06,Ringsend Road,4,Film Vehicles,10-Jul-06,11-Jul-06,243.20
1569,04-Jul-06,Gloucester Street,4,To allow traffic to flow while loading,08-Jul-06,16-Jul-06,"1,064.00"
1570,04-Jul-06,Prince's Street,4,To allow traffic to flow while loading,08-Jul-06,16-Jul-06,"1,064.00"
1571,05-Jul-06,King's Inns Street,16,Filming,27-Jul-06,27-Jul-06,608.00
1572,05-Jul-06,Stephens Green,2,Mars Hell's Office for the Exhibition,18-Aug-06,20-Aug-06,0.00
1573,05-Jul-06,Stephens Green,2,Mars Hell's Office for the Exhibition,29-Sep-06,01-Oct-06,0.00
1574,13-Jul-06,Fishamble Street,2,Vehicles For Events Works,17-Jul-06,23-Jul-06,456.00
1575,13-Jul-06,Wolfe Tone Street,2,Vehicles For Events Works,17-Jul-06,23-Jul-06,456.00
1576,13-Jul-06,Smithfield - North End,All,Bastille Festival (Delivery and take down),14-Jul-06,16-Jul-06,0.00
1577,06-Jul-06,Townsend Street,2,To allow traffic to flow while loading,08-Jul-06,16-Jul-06,532.00
1578,07-Jul-06,"26, South William Street  Dn. 2",5,Bord Gas Works,07-Jul-06,08-Jul-06,380.00
1579,07-Jul-06,Jervis Street,7,Filming,10-Jul-06,10-Jul-06,266.00
1580,07-Jul-06,Wolfe Tone Street,7,Work containers for Capel Street works,10-Jul-06,01-Dec-06,0.00
1581,07-Jul-06,Anne Street,4,Filming,11-Jul-06,11-Jul-06,152.00
1582,07-Jul-06,Halston Street,4,Filming,10-Jul-06,10-Jul-06,152.00
1583,10-Jul-06,Coleraine Street,6,Filming,11-Jul-06,11-Jul-06,228.00
1584,10-Jul-06,Dominick Street,12,Official Launch,10-Jul-06,10-Jul-06,456.00
1585,10-Jul-06,South William Street,1,Delivery,11-Jul-06,14-Jul-06,152.00
1586,10-Jul-06,Merrion Road (outside Paddy Cullens),4,Roadhog,27-Jul-06,27-Jul-06,152.00
1587,17-Jul-06,Merrion Road,4,(outside Paddy Cullens),21-Jul-06,21-Jul-06,152.00
1588,10-Jul-06,Merrion Square (outside 63 Merrion Square),2,Moving Office,19-Jul-06,20-Jul-06,152.00
1589,10-Jul-06,Merrion Square (outside 73 Merrion Square),2,Moving Office,19-Jul-06,20-Jul-06,152.00
1590,14-Jul-06,Gloucester Street,4,To allow traffic to flow while loading,15-Jul-06,21-Jul-06,912.00
1591,14-Jul-06,Townsend Street,2,To allow traffic to flow while loading,15-Jul-06,21-Jul-06,456.00
1592,14-Jul-06,Prince's Street,4,To allow traffic to flow while loading,15-Jul-06,21-Jul-06,912.00
1593,14-Jul-06,Shelbourne Road,4,Access to Site - Deliveries,18-Jul-06,01-Sep-06,"5,776.00"
1594,17-Jul-06,Drumcondra Road Lower,4,Roadhog,12-Aug-06,12-Aug-06,121.20
1595,17-Jul-06,39 Fitzwilliam Place,3,Office Removal,04-Aug-06,04-Aug-06,114.00
1596,17-Jul-06,37 Lower Baggot Street,2,Office Removal,04-Aug-06,04-Aug-06,76.00
1597,19-Jul-06,Emmet Road,3,Temporary Mobile Library Service,21-Aug-06,25-Aug-06,285.00
1598,19-Jul-06,Emmet Road,3,Temporary Mobile Library Service,28-Aug-06,01-Sep-06,285.00
1599,19-Jul-06,Stephens Green,4,Roadhog,18-Aug-06,18-Aug-06,152.00
1600,21-Jul-06,St. Stephen's Green,4,Parking Of An Outside Broadcast Unit,04-Aug-06,04-Aug-06,152.00
1601,21-Jul-06,Ballsbridge,4,Parking Of An Outside Broadcast Unit,16-Aug-06,16-Aug-06,121.60
1602,21-Jul-06,Prince's Street South,4,The free-flow of traffic,22-Jul-06,29-Jul-06,912.00
1603,21-Jul-06,Townsend Street,2,The free-flow of traffic,22-Jul-06,29-Jul-06,456.00
1604,21-Jul-06,Gloucester Street,4,The free-flow of traffic,22-Jul-06,29-Jul-06,912.00
1605,24-Jul-06,Beatty's Avenue,3,Completion of Contract to Reinforce River Wall,08-Aug-06,16-Oct-06,0.00
1606,24-Jul-06,Merrion Square Park (outside Main Gate),4,Outside Broadcast (98FM),28-Jul-06,28-Jul-06,152.00
1607,24-Jul-06,Adelaide Road (in front of No. 24),5,Removal,24-Jul-06,25-Jul-06,280.00
1608,25-Jul-06,Northwall Quay,4,Outside Braodcast,27-Sep-06,27-Sep-06,121.60
1609,25-Jul-06,Ballsbridge,4,Outside Braodcast,11-Nov-06,11-Nov-06,121.60
1610,25-Jul-06,Ballsbridge,4,Outside Braodcast,15-Nov-06,15-Nov-06,121.60
1611,25-Jul-06,Northwall Quay,4,Outside Braodcast,16-Nov-06,16-Nov-06,121.60
1612,25-Jul-06,Ballsbridge,4,Outside Braodcast,19-Nov-06,19-Nov-06,121.60
1613,25-Jul-06,Shaw Street,6,Pedestrian Walkway,26-Jul-06,27-Jul-06,456.00
1614,25-Jul-06,Adelaide Road,8,Film Vehicles,31-Jul-06,31-Jul-06,304.00
1615,25-Jul-06,Charlemont Mall,7,Film Vehicles,02-Aug-06,02-Aug-06,212.80
1616,25-Jul-06,"Bloomfield Avenue, Portobello",8,Film Vehicles,04-Aug-06,04-Aug-06,243.20
1617,31-Jul-06,Barrow Street,5,Facilitate Filming,01-Aug-06,01-Aug-06,152.00
1618,31-Jul-06,Leahy's Terrace,3,Facilitate Filming,01-Aug-06,02-Aug-06,114.00
1619,27-Jul-06,Merrion Square West,4,Roadhog,06-Aug-06,06-Aug-06,152.00
1620,27-Jul-06,Prince's Street South,4,The free-flow of traffic,31-Jul-06,04-Aug-06,760.00
1621,27-Jul-06,Gloucester Street,4,The free-flow of traffic,31-Jul-06,04-Aug-06,760.00
1622,31-Jul-06,Seafort Villas,8,Facilitate Filming,02-Aug-06,02-Aug-06,152.00
1623,27-Jul-06,Fishamble Street,4,Support Vehicles to facilitate filming,21-Aug-06,22-Aug-06,304.00
1624,28-Jul-06,Pembroke Street Lower,5,Unloading Furniture,11-Aug-06,11-Aug-06,190.00
1625,02-Aug-06,Aston Quay (At O'Connell Bridge),2,Vehicle to support Maintenance on Bridge Lights,02-Aug-06,04-Aug-06,0.00
1626,02-Aug-06,Wolfe Tone Park,5,Afro Carnival in association with D.C.C.,05-Aug-06,06-Aug-06,0.00
1627,02-Aug-06,Molesworth Street,5,Site Compound,14-Aug-06,19-Sep-06,0.00
1628,02-Aug-06,Temple Lane South,1,CCTV Surveying,03-Aug-06,03-Aug-06,38.00
1629,04-Aug-06,Prince's Street,4,The free-flow of traffic,08-Aug-06,11-Aug-06,608.00
